Unnamed: 0.1,Unnamed: 0,restaurant name,restaurant type,rate (out of 5),num of ratings,avg cost (two people),online_order,table booking,cuisines type,area,local address
696,696,Best,Quick Bites,3.4,6,400.0,No,No,"Fast Food, Chinese, Street Food",Whitefield,Whitefield
3641,3641,Lucknow Central,Quick Bites,3.0,21,350.0,Yes,No,North Indian,Bellandur,Marathahalli
6067,6067,Tandoori Knight,Quick Bites,3.0,290,450.0,Yes,No,"North Indian, Chinese, Biryani, Kebab",Banashankari,Banashankari
4546,4546,Oye Hoye,Quick Bites,3.8,69,300.0,Yes,No,North Indian,Kalyan Nagar,Kalyan Nagar
5759,5759,Sri Idli Mane,Quick Bites,3.7,16,150.0,No,No,South Indian,Basavanagudi,Basavanagudi
4326,4326,New Tandoor,Casual Dining,3.5,293,550.0,Yes,No,"North Indian, Chinese, Mughlai, Rolls",Old Airport Road,CV Raman Nagar
3337,3337,Kings Court,Casual Dining,3.1,12,800.0,Yes,No,"North Indian, Mughlai, Chinese",Kalyan Nagar,Kalyan Nagar
1182,1182,Cake Of Day,Bakery,2.8,40,150.0,No,No,Bakery,Basavanagudi,Basavanagudi
5969,5969,Swad,Casual Dining,3.7,38,500.0,No,No,"North Indian, Chinese",Electronic City,Electronic City
80,80,99Foods,Quick Bites,3.4,32,400.0,No,No,"Biryani, North Indian, Chinese, Kebab",Marathahalli,Marathahalli
96,96,A2B - Adyar Ananda Bhavan,Casual Dining,2.5,544,400.0,Yes,No,"South Indian, North Indian, Chinese, Street Food, Fast Food",Whitefield,Whitefield
5821,5821,Sri Udupi Veg,Quick Bites,3.3,4,250.0,No,No,South Indian,Banashankari,Jayanagar
5293,5293,Sasu Maa Ki Rasoi,Quick Bites,3.6,97,300.0,Yes,No,"North Indian, Chinese",Sarjapur Road,Sarjapur Road
1805,1805,Desi Dhaba,Delivery,3.3,13,400.0,Yes,No,"North Indian, Chinese",Bannerghatta Road,BTM
2083,2083,Fazzito Kitchen,Casual Dining,3.8,210,700.0,No,No,North Indian,Indiranagar,Thippasandra
6097,6097,Taste Of Kolkata,Quick Bites,3.1,59,400.0,Yes,No,"Bengali, Chinese, Rolls",Bannerghatta Road,BTM
2,2,#refuel,Cafe,3.7,37,400.0,Yes,No,"Cafe, Beverages",Bannerghatta Road,Bannerghatta Road
4161,4161,Nammura Upahara,Quick Bites,3.8,40,100.0,No,No,South Indian,"Byresandra,Tavarekere,Madiwala",JP Nagar
3014,3014,Jameela Hotel,Quick Bites,3.3,9,200.0,No,No,Biryani,Rajajinagar,Magadi Road
1380,1380,Chez Nous - Novotel,Lounge,3.9,125,2500.0,No,Yes,"European, French, North Indian",Bellandur,Marathahalli
6867,6867,Vijayalakshmi,Quick Bites,3.9,47,200.0,Yes,No,South Indian,Banashankari,Basavanagudi
3418,3418,Krazy Factory,Cafe,4.0,431,540.2864642451759,No,No,"Cafe, Continental, Chinese","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
5699,5699,Spicy World,"Takeaway, Delivery",3.4,7,200.0,Yes,No,North Indian,Bannerghatta Road,JP Nagar
6035,6035,Taj Durbar,Quick Bites,3.8,83,400.0,No,No,"North Indian, BBQ","Byresandra,Tavarekere,Madiwala",Jayanagar
1634,1634,Cucumber Town,Delivery,4.2,306,600.0,Yes,No,"Kerala, North Indian",Bannerghatta Road,BTM
39,39,360 Atoms Restaurant And Cafe,Cafe,3.1,13,400.0,Yes,No,"Cafe, Chinese, Continental, Italian",Banashankari,Banashankari
6126,6126,Tasty Yum,Quick Bites,2.8,40,300.0,No,No,"South Indian, Mughlai",Bellandur,Sarjapur Road
1623,1623,Crumb Together,"Casual Dining, Bar",4.1,583,1200.0,Yes,Yes,"Continental, Finger Food, North Indian, Chinese",Bannerghatta Road,JP Nagar
6272,6272,The Caramelts Cafe,Cafe,4.1,226,800.0,No,No,"Cafe, Salad, Wraps, Beverages",Jayanagar,Jayanagar
4496,4496,OMY Grill,Quick Bites,3.8,34,300.0,Yes,No,"Biryani, Rolls, Fast Food",HSR,HSR
4637,4637,Parivaar,Delivery,2.9,20,600.0,Yes,No,"Biryani, North Indian, Chinese",Jayanagar,Koramangala 7th Block
2801,2801,Hunger Box,"Takeaway, Delivery",2.8,40,400.0,No,No,"North Indian, Chinese",Marathahalli,Marathahalli
2661,2661,Hotel Chandrika,Casual Dining,3.8,207,400.0,Yes,No,"South Indian, North Indian, Chinese, Street Food",Church Street,Cunningham Road
2988,2988,Izakaya Gastro Pub,"Bar, Casual Dining",3.8,128,1200.0,Yes,Yes,"North Indian, Continental, Mediterranean",Whitefield,Whitefield
2186,2186,Food Mingo,Quick Bites,3.0,4,450.0,Yes,No,"North Indian, Chinese",Brookefield,Marathahalli
1846,1846,Dhuaan,Cafe,3.8,109,800.0,No,No,"Cafe, Continental","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
2453,2453,Grill Point,Quick Bites,2.9,30,500.0,Yes,No,"North Indian, Mughlai, Chinese",Whitefield,Whitefield
5775,5775,Sri Lakshmi Dhaba,Quick Bites,2.9,255,250.0,Yes,No,North Indian,Bannerghatta Road,BTM
3366,3366,KL-58 Thalassery Cafe,Quick Bites,3.5,14,200.0,No,No,Kerala,New BEL Road,New BEL Road
1590,1590,CraveBelly Veg & Non veg,Quick Bites,2.8,40,150.0,No,No,"Fast Food, South Indian",Indiranagar,Old Airport Road
4913,4913,Ragoo's Kitchen,Quick Bites,3.1,94,350.0,Yes,No,"Mangalorean, Chinese, North Indian, Biryani",Malleshwaram,Rajajinagar
1919,1919,Dr. Sheesha,Cafe,4.1,1445,800.0,No,Yes,"Cafe, Chinese, Continental, Italian",Jayanagar,JP Nagar
4012,4012,Monsoon - The Park Bangalore,Fine Dining,4.1,274,3000.0,No,Yes,"Italian, North Indian",Lavelle Road,MG Road
2256,2256,Freshkhilao,Casual Dining,3.3,379,750.0,Yes,No,"Chinese, North Indian, Biryani, Juices",Whitefield,Brookefield
1960,1960,Earth Plate Express,Food Court,3.9,33,600.0,Yes,No,"Italian, Continental",Bannerghatta Road,JP Nagar
5610,5610,Snow Gola,Dessert Parlor,3.7,17,150.0,No,No,Desserts,Brigade Road,Brigade Road
1466,1466,ChopServe,Quick Bites,3.5,5,300.0,No,No,Chinese,HSR,HSR
4862,4862,Punjabi Twist,Quick Bites,4.1,141,300.0,Yes,No,North Indian,Brookefield,Marathahalli
4585,4585,Panchamuki Fastfood,Quick Bites,3.5,12,300.0,No,No,"South Indian, Beverages",HSR,HSR
1650,1650,Curry Flavours,Casual Dining,2.8,40,200.0,No,No,"Tamil, South Indian, North Indian, Chinese",Bellandur,Bellandur
5719,5719,Sree Krishna Sagar Greens,Quick Bites,2.8,33,300.0,No,No,"South Indian, Street Food, Chinese",Electronic City,Electronic City
5447,5447,Shree Krishna Sannidhi,Quick Bites,3.4,76,450.0,Yes,No,"North Indian, Chinese",Bannerghatta Road,Bannerghatta Road
5787,5787,Sri Pillaiyar Bhavan,Quick Bites,4.0,117,300.0,Yes,No,Chettinad,Electronic City,Electronic City
1367,1367,Chefie,Quick Bites,3.8,37,200.0,Yes,No,"Continental, Fast Food, Italian, North Indian","Byresandra,Tavarekere,Madiwala",Koramangala 1st Block
2932,2932,Indian Kitchen - Hotel Presidency,Casual Dining,3.0,8,1000.0,Yes,No,"Fast Food, North Indian, Finger Food",Electronic City,Electronic City
5637,5637,South House,Casual Dining,3.8,97,800.0,Yes,No,"South Indian, Biryani",Brookefield,Brookefield
5980,5980,Swadh Biryani Tandoori Spot,Quick Bites,2.8,40,200.0,No,No,"Biryani, Fast Food",Malleshwaram,Malleshwaram
5365,5365,Shake The Shake,Beverage Shop,2.8,40,200.0,Yes,No,Juices,"Byresandra,Tavarekere,Madiwala",BTM
4024,4024,Mota Bawarchi,Quick Bites,3.5142532329117526,40,300.0,No,No,"North Indian, Biryani, Fast Food",Basavanagudi,Basavanagudi
3954,3954,Mint Spice CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© & Restaurant,Casual Dining,3.0,12,500.0,Yes,No,"North Indian, Chinese",Bellandur,Bellandur
6622,6622,Thom's Bakery,"Bakery, Quick Bites",4.1,211,200.0,No,No,"Bakery, Fast Food",Brigade Road,Frazer Town
1577,1577,Corner Stone,"Beverage Shop, Quick Bites",3.6,42,300.0,No,No,"Beverages, Juices, Desserts, Italian",Banashankari,Banashankari
2530,2530,Hanumanthanagar Biryani Junction,Quick Bites,3.5,17,300.0,No,No,South Indian,Banashankari,Banashankari
6990,6990,Wood Fire Pizza,Quick Bites,2.8,40,350.0,Yes,No,Pizza,Kalyan Nagar,HBR Layout
2120,2120,Fishland,Casual Dining,4.2,302,500.0,No,No,"Seafood, North Indian, Chinese",Lavelle Road,Majestic
5556,5556,Slate Cafe,Cafe,4.1,46,600.0,Yes,No,"Cafe, Sandwich, Burger",Bannerghatta Road,JP Nagar
854,854,Bistro Oui,"Cafe, Bar",4.1,400,1200.0,Yes,Yes,"Cafe, Continental, Salad, Steak","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
1929,1929,Dreamcatcher,Cafe,3.9,49,600.0,Yes,No,Cafe,Bannerghatta Road,Bannerghatta Road
2848,2848,Hyderabad Darbar,Casual Dining,3.7,40,700.0,Yes,No,"Andhra, South Indian",Electronic City,Electronic City
4694,4694,Pepper's - The Palladium,Casual Dining,3.7,41,700.0,No,Yes,"North Indian, Chinese, South Indian",Lavelle Road,Majestic
1492,1492,Churrascaria Brazil,Casual Dining,4.1,111,1400.0,No,No,European,Kalyan Nagar,Kammanahalli
2743,2743,Hotel Rangoon,Quick Bites,3.7,17,300.0,Yes,No,Burmese,Brigade Road,Ulsoor
4728,4728,Pizza Home,Cafe,2.9,59,600.0,No,No,"Cafe, Pizza, Continental, South Indian",Marathahalli,Marathahalli
4668,4668,Pavithra Restaurant,Quick Bites,3.2,135,300.0,No,No,"South Indian, North Indian, Chinese",Jayanagar,Jayanagar
3938,3938,Milkyway Ice Creams,Food Court,3.7,25,300.0,Yes,No,Ice Cream,Bellandur,Bellandur
2161,2161,Fogg,Casual Dining,2.8,40,1000.0,No,Yes,"Continental, Italian, Beverages",Koramangala 4th Block,BTM
1265,1265,Chaat Junction,Quick Bites,3.6,12,200.0,No,No,"Street Food, North Indian, Fast Food",Brookefield,Whitefield
3599,3599,Lion King,Quick Bites,3.8,76,250.0,Yes,No,"Chinese, Momos",Marathahalli,Kaggadasapura
1150,1150,Cafe Terra,Cafe,2.8,40,700.0,Yes,No,"Cafe, Continental",Basavanagudi,Jayanagar
4925,4925,Raja Bhojaun,"Takeaway, Delivery",3.4,20,250.0,Yes,No,"Chinese, North Indian, South Indian",Bellandur,Marathahalli
1009,1009,Bunker Restaurant,Quick Bites,3.7,29,300.0,No,No,"North Indian, South Indian, Fast Food, Momos",Sarjapur Road,Sarjapur Road
2745,2745,Hotel Reddy Bhavan,Quick Bites,3.4,11,300.0,Yes,No,"Biryani, North Indian, Chinese, Andhra","Byresandra,Tavarekere,Madiwala",HSR
1870,1870,Dine In,Quick Bites,3.5,8,400.0,No,No,"Kerala, South Indian, North Indian, Chinese",Lavelle Road,Brigade Road
643,643,Bawarchi Restaurant,Casual Dining,3.1,4,700.0,No,No,"North Indian, Biryani",Electronic City,Electronic City
6980,6980,Wish Pot,"Takeaway, Delivery",3.4,8,300.0,No,No,"North Indian, Continental",Brookefield,Whitefield
2660,2660,Hotel Brundavan,Quick Bites,2.8,40,250.0,Yes,No,"South Indian, North Indian, Chinese",Bannerghatta Road,Bannerghatta Road
65,65,7 Spice,Quick Bites,3.4,5,250.0,No,No,"Biryani, Chinese",Kalyan Nagar,Banaswadi
3778,3778,Mandya Gowdru Donne Biriyani,Quick Bites,3.8,281,350.0,Yes,No,"Biryani, South Indian",Bellandur,HSR
3899,3899,Melange - Hotel Ekaa,Casual Dining,3.2,426,900.0,Yes,Yes,"North Indian, Chinese, Continental, Mangalorean",Electronic City,Electronic City
4107,4107,MyPotli,"Takeaway, Delivery",3.7,18,100.0,No,No,"North Indian, South Indian",JP Nagar,JP Nagar
6381,6381,The Hot Cafe,Quick Bites,3.2,24,300.0,No,No,Fast Food,JP Nagar,Kumaraswamy Layout
5086,5086,Rotti Mane,Quick Bites,3.4,10,200.0,Yes,No,South Indian,Koramangala 4th Block,Domlur
6794,6794,Urban Spoon Buffet Restaurant,Casual Dining,3.5,32,1000.0,No,Yes,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
6886,6886,Vinny's,Casual Dining,3.9,205,800.0,Yes,No,"Pizza, Italian, Continental, Desserts",Church Street,Brigade Road
2430,2430,Granos De Cafe,Cafe,3.7,31,500.0,No,No,"Cafe, Beverages","Byresandra,Tavarekere,Madiwala",BTM
720,720,Bhanu Hindi Military Hotel,Quick Bites,3.4,7,300.0,Yes,No,South Indian,Rajajinagar,Magadi Road
1958,1958,Eagle Ridge,Casual Dining,3.2,8,700.0,No,Yes,"South Indian, North Indian, Chinese",Bannerghatta Road,Bannerghatta Road
3352,3352,Kitchen Rabbit,Quick Bites,3.6,18,500.0,Yes,No,"North Indian, Chinese, Andhra",Brookefield,Whitefield
6978,6978,Windy- Taste Of Home,Quick Bites,3.6,109,300.0,Yes,Yes,North Indian,Brookefield,Whitefield
1004,1004,Bulls N Bears - Bar Trade Xchange,"Pub, Bar",3.8,155,1000.0,No,Yes,"Finger Food, North Indian, Continental, Pizza",Koramangala 7th Block,Koramangala 5th Block
3915,3915,Metrolicious,"Takeaway, Delivery",3.5,38,400.0,Yes,No,"North Indian, Chinese, Biryani",Whitefield,Whitefield
6140,6140,TBC Sky Lounge,"Casual Dining, Bar",4.7,6745,1000.0,No,Yes,"Continental, Asian, Italian, North Indian",HSR,HSR
3105,3105,Just Yum,Quick Bites,3.6,78,500.0,Yes,No,"North Indian, Chinese",Sarjapur Road,Sarjapur Road
2819,2819,Hungry Bowl,"Takeaway, Delivery",3.6,51,500.0,No,No,"North Indian, Chinese, Italian","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
5589,5589,Smokey Tribe Restaurant,Casual Dining,3.8,264,650.0,Yes,No,"North Eastern, Chinese","Byresandra,Tavarekere,Madiwala",Koramangala 7th Block
2163,2163,Food & Friends,Quick Bites,2.9,88,200.0,Yes,No,"Fast Food, Street Food",Malleshwaram,Rajajinagar
2755,2755,Hotel Sekar,Quick Bites,2.8,40,200.0,Yes,No,North Indian,Koramangala 6th Block,BTM
1580,1580,Costa Coffee,Cafe,3.0,6,500.0,No,No,Cafe,Sarjapur Road,Bellandur
6917,6917,Waffle Stories,Dessert Parlor,2.8,40,300.0,Yes,No,"Desserts, Beverages",Bellandur,HSR
4521,4521,Ooty Chocolates,Dessert Parlor,3.3,9,300.0,Yes,No,Desserts,Bellandur,Sarjapur Road
1022,1022,Burma Burma,Casual Dining,4.7,1594,1500.0,Yes,No,"Asian, Burmese",Indiranagar,Indiranagar
4378,4378,Nisarga Garden Restaurant,Quick Bites,3.4,51,350.0,No,No,"South Indian, Chinese, Desserts, Beverages",Banashankari,Basavanagudi
4286,4286,New Mangalore Lunch Home,Quick Bites,3.3,7,200.0,No,No,"Mangalorean, South Indian, North Indian",Banashankari,Banashankari
2601,2601,High Ultra Lounge,"Lounge, Casual Dining",4.1,4767,2600.0,No,Yes,"Japanese, Thai, Chinese, Korean",Malleshwaram,Malleshwaram
4713,4713,Pin Me Down,Casual Dining,4.5,784,800.0,Yes,Yes,"Continental, Mexican, Chinese, North Indian",Basavanagudi,BTM
2258,2258,FreshMenu,Delivery,2.8,132,450.0,Yes,No,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",Marathahalli,East Bangalore
3382,3382,Kolkata Famous Katti Rolls,Quick Bites,3.4,8,200.0,Yes,No,"Fast Food, Rolls",Brookefield,Marathahalli
3334,3334,King Punjabi Restaurant,Quick Bites,3.8,52,300.0,No,No,North Indian,"Byresandra,Tavarekere,Madiwala",BTM
4749,4749,Poha On Wheels,Quick Bites,2.8,40,100.0,Yes,No,Fast Food,Bellandur,Sarjapur Road
1854,1854,Dil Se Punjabi,Casual Dining,3.0,106,550.0,Yes,No,"North Indian, Mughlai, Chinese",Malleshwaram,RT Nagar
4316,4316,New Shanthi Sagar,Casual Dining,2.7,39,550.0,No,No,"South Indian, North Indian, Chinese, Beverages",Malleshwaram,Sadashiv Nagar
375,375,Angel Mutton Leg Soup,Quick Bites,3.5,22,200.0,No,No,South Indian,Indiranagar,Jeevan Bhima Nagar
2824,2824,Hungry Hippie,Cafe,4.3,1463,800.0,No,Yes,"Cafe, Continental, Italian, Burger","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
3613,3613,Little Nature,"Quick Bites, Beverage Shop",3.1,46,250.0,Yes,No,"Juices, Ice Cream, Fast Food",Brookefield,Marathahalli
186,186,Akshaya Donne Biriyani,Quick Bites,3.0,39,300.0,Yes,No,"Biryani, South Indian, Kebab",JP Nagar,JP Nagar
5643,5643,South Point Pub,Bar,3.4,11,800.0,Yes,No,"North Indian, Seafood, Chinese",Banashankari,Basavanagudi
3234,3234,Kartik,"Casual Dining, Bar",3.4,6,700.0,No,No,"Chinese, North Indian",Kalyan Nagar,Banaswadi
3984,3984,Moksha,"Casual Dining, Bar",3.6,42,500.0,Yes,No,"Chinese, North Indian, Mughlai",JP Nagar,Kanakapura Road
446,446,Arya Bhavan Sweets,Sweet Shop,3.2,6,300.0,No,No,"Mithai, Street Food, North Indian",Brigade Road,MG Road
